"","lambda_loss","lambda_acs0","lambda_dacs","lambda_prec","lambda_seas","lambda_bd","theta_0","sd_theta","beta","gamma","sigma","lp__"
"13",0.162711853441254,0.0110928358325812,0.0278370568517446,0.0787236194906326,0.0540636253373699,0.0323828270917212,0.427042503040194,0.148987531829955,0.00975482951362885,1.16397150614666,0.525118858553486,-3473.01380397675
"14",0.101883193924109,0.0154104986807538,0.0253982518781988,0.0175016201501925,0.0374224074161748,0.0388984705933753,0.205674868170445,0.0796200180338377,0.00560931620458594,1.10929168124702,0.505688899654363,-3460.76833875831
"15",0.0871801256681459,0.0452881513762892,0.022804478080119,0.00124283504412351,0.0108389033510415,0.026028294710525,0.212196979321216,0.0593297989079941,0.0045819451093109,1.16442203762469,0.539581220435151,-3431.71834416928
"16",0.0806430124234336,0.0296744572893771,0.0161187726214214,0.0232474586528744,0.0266584006872061,0.0381420396775612,0.205392169449674,0.0727046106047485,0.00465717866142061,1.18765582027434,0.515740356847216,-3447.12616652705
"17",0.123944369043721,0.0518656057520217,0.0292979940512568,-0.00695341318507554,0.0165911018921791,0.0372733881176911,0.244278400931836,0.0735610529240813,0.00591382712350731,1.15943340419621,0.519161441262951,-3443.64944543792
"18",0.121586590369463,0.0330238045216471,0.0275832341904366,0.0181305416909169,0.00668912191605367,0.0258099666796612,0.259201002193024,0.0700789439358641,0.00628659289720694,1.1456401984365,0.519646108521403,-3445.18283545177
"19",0.0994268217004514,0.0402088241952252,0.0235918137504095,0.00166394921971014,0.00489891187223939,0.0225665914072154,0.201883512743033,0.0612704020758233,0.00491116325308367,1.14982664881692,0.531294193447016,-3470.26839901515
"20",0.105899686336582,0.0270732377726273,0.0308355022669951,0.0369632002362365,0.0144530169179581,0.0255316741096217,0.230428039535573,0.0693858964933191,0.00566185531604343,1.14240370309079,0.516660452893044,-3452.17188688549
"21",0.193565223855743,0.0654700656496587,0.0114445544271689,0.0462500156414242,0.055296291733391,0.0471090946604608,0.44110061312662,0.132082732973496,0.0103695455781074,1.17907610270304,0.537486580064243,-3451.12235813965
"22",0.195980318837942,0.0299689066190437,0.0327460929745446,0.0326852793951246,0.0237998374410155,0.050432651663775,0.398837818212995,0.111568163423433,0.00952829650568996,1.17938521453153,0.529913651021676,-3435.96429526573
