"","lambda1","lambda2","sd","p1"
"76",0.0681921301538759,0.192499192087358,0.0145343112151053,0.518327963967332
"77",0.110978586066829,0.321293755331031,0.0113004127782498,0.496969463886568
"78",0.0328879699058264,0.0991896709563025,0.0217289374515613,0.543260404270768
"79",0.0810879453070817,0.235902895052704,0.0129144776860834,0.542932016880243
"80",0.0546320418889206,0.168070490737486,0.015901067635078,0.464753878525098
"81",0.0981996542391324,0.289829099336059,0.0117936339343792,0.523880570602002
"82",0.0384027336374703,0.121560407145638,0.019306987661942,0.522155770095538
"83",0.0697432130499122,0.197937891843898,0.0138288734428966,0.495511750361227
"84",0.0482166436077291,0.152998205228335,0.0182404986402428,0.528180679120054
"85",0.0447387749269904,0.13083833768768,0.0173303677962792,0.562024353527544
"86",0.0767178266385143,0.217389650198477,0.0134492717671902,0.500456693748235
"87",0.0663296333837049,0.197695561438533,0.0138642576835592,0.419644807097603
"88",0.109196706188707,0.279689958097435,0.00995153733014723,0.496032827029519
"89",0.0662067564464402,0.19551295264563,0.0145289961361215,0.524824252594124
"90",0.0886791021111239,0.25037152371203,0.0123625137898534,0.504281518356374
"91",0.0436404976528547,0.132751960154377,0.0177938279929321,0.48600868305773
"92",0.037534189468067,0.115219360144536,0.0196781073282801,0.512770774542214
"93",0.0531739170111362,0.154376637620487,0.016056421785588,0.507985613603467
"94",0.0612992693770892,0.182006027093554,0.0149142003052915,0.514554978382813
"95",0.0726896420396313,0.210135996727835,0.0136283649184621,0.477383515314303
"96",0.0879222217894097,0.24061837275846,0.0116898658878198,0.496904137667334
"97",0.0596619463667095,0.163312052250392,0.0135248128348759,0.45715760600415
"98",0.0984326044597793,0.264314916728195,0.010893698466923,0.516095981298713
"99",0.0487931106347577,0.137214541657276,0.0154028070563753,0.443871186188543
"100",0.0900147396960024,0.251530503198178,0.0117317684084356,0.501300347331452
