"alpha","beta","r[1]","r[2]","r[3]","r[4]","r[5]","sigma","sigma_r","lp__"
15.1569602874392,0.00999757952620491,1.4447184737353,1.46722877172036,1.14975281762265,0.688790108877372,-1.34298517784563,0.180268303144845,1.17395841217942,10.8462300080556
15.1890854813901,0.00957914742918216,1.43146861207418,1.55626050441474,0.931754177577196,0.690275676616035,-1.25187682818819,0.183483772901457,1.17769690783989,9.4866054170247
15.1358544590346,0.0107090397340248,1.44644348114516,1.325199151881,1.08641618363926,0.638767742126014,-1.40523016783842,0.186381690334167,1.15795354835963,9.63277637420883
15.6677940160105,0.00899451518062359,1.05073028722761,1.0086344161537,0.540753050439963,0.136235855469848,-1.75271679764405,0.218455379562607,1.98888573129835,8.01462066450901
16.0288924430464,0.00803853387748215,0.732229478093039,0.833853265128308,0.226791965026523,-0.00794413601612759,-2.01908706284631,0.204741148281984,0.915149826318602,7.05265864919252
16.0896915766912,0.0109389546391707,0.529436301180846,0.457179362683433,-0.0837417525791898,-0.451647882104444,-2.27855846282819,0.206646869374235,0.695527219550824,6.03573700753096
14.9956963484386,0.0108767820313758,1.63746050366991,1.59746408201266,0.941161484962848,0.839863785306596,-1.15149624391206,0.179465127771688,2.6767590539693,5.21472002481572
14.9684877194522,0.0108625673903791,1.59478562385653,1.53834355160474,1.17959364237733,0.781339962857219,-1.15190394364278,0.181554031358667,2.83258606702142,10.3596651225663
14.8986257960886,0.010477274715536,1.66514133826927,1.68086621114934,1.26716415649717,0.860964383952218,-1.11004246744619,0.125259864168629,1.42078378357869,12.8525334767019
15.0768758006448,0.00941286270048459,1.63458680989134,1.51948028441557,1.15375848579065,0.85992294981385,-1.11866790218901,0.144735838642429,1.12443784946097,11.3510571769824
14.9812688299112,0.00941516476160173,1.73636137293651,1.58757013976103,1.26268418117953,0.926782126307735,-1.03117983923597,0.139119151809729,1.73576152794623,11.2596901239806
14.7874803515837,0.0102321789574886,1.79836606952543,1.69601029939707,1.37110426673545,1.04031289250536,-0.875684765458523,0.131111825006264,2.23476617536305,9.3172298490229
15.2506731701609,0.0105536214424686,1.35137307456084,1.22440110849021,0.913160030510258,0.571359235893048,-1.46952523692479,0.179416514328223,2.03666659390488,10.7826636835474
16.1183712454511,0.00953993536867245,0.555081728807968,0.52530928627236,0.0396663842054404,-0.296070667395387,-2.1975545697226,0.128699116274424,0.847784702788549,12.8797949276124
15.2472630417294,0.00999006088491969,1.29916364687734,1.30545290606531,0.96287202612653,0.53739985194114,-1.34973177956646,0.1472045434986,1.90456683447387,11.9428979797125
15.3019166625944,0.0099131229410977,1.42333816105822,1.3797617002857,0.875336848577063,0.585192972408638,-1.4909300515262,0.144865033822553,1.73332034380396,11.5999595776658
15.3299565103653,0.00921268134287859,1.32979650252748,1.26586301082165,0.944086661270822,0.479677677120916,-1.40525802916425,0.142476586418286,1.63279244985408,12.232565756465
15.3001653122148,0.0103950679155152,1.2957290685264,1.21708711090906,0.969481666097342,0.448618904071813,-1.47519785099528,0.138956848391243,1.43407283661955,11.7199486202313
15.3253933520288,0.00960743495259775,1.31975193873196,1.27619924311786,0.991126241230809,0.484569906660863,-1.45108668054726,0.146527339802255,1.14145196574424,12.7307238733797
17.5119138086432,0.00999755581967147,-0.887295926433428,-0.902240317309949,-1.2305755754311,-1.774311294633,-3.66072178283773,0.154263030090378,3.54452986529281,9.76050764925915
15.7025042231654,0.00997291495055273,0.945813163210222,0.916639371126012,0.409211199621037,0.202063292183622,-1.79648454661662,0.147445823550934,0.667665821017985,10.8992801792657
15.6708080822723,0.0100641348031516,0.955615156493993,0.849640476047901,0.416122268915027,0.0705343225210167,-1.79270583835811,0.183416105148658,1.12971145253152,10.6992348720549
16.0456131248231,0.0101393096047023,0.449923143553097,0.503168383777514,0.131264557737293,-0.279230551275103,-2.07437643817726,0.155305945848916,1.43560795707499,9.35101217619644
15.8731415691309,0.0105729204572014,0.831904239370384,0.721963133851348,0.270506604598844,-0.0775036202213642,-2.10060738506799,0.162335169856349,0.826812423617446,11.6279900979768
15.7545008872714,0.0105849099313877,0.923759247309601,0.736135280683774,0.324874947527539,-0.0613739481979569,-1.9838645357762,0.14499972867656,0.875862613958107,9.77759267309925
15.7754696962382,0.0106904806602634,0.948592839393372,0.77539749554031,0.303633036932789,-0.10373894403909,-2.00530698207321,0.144672764931002,0.921407507440327,8.64777575045086
15.7973822825202,0.0105356447753386,0.867813517569476,0.704906325986392,0.377550146013583,-0.0138987409889831,-1.90642800721136,0.145797342696284,0.955409823503337,12.4193899435244
13.6056513021011,0.0093752837700651,3.10633076682396,2.9877366825812,2.69245269118884,2.22210264399723,0.214314064630791,0.149014258015656,2.2550110705866,8.73649595859539
13.889448670025,0.0103400238510371,2.70597890920108,2.79896522489948,2.24354987935746,1.90619672432851,-0.0330799245551498,0.136546500748088,2.11662021349146,9.87980944287493
13.8719009455469,0.0106676293240456,2.73269915347944,2.58173575866169,2.31445353453385,1.89547657031346,-0.0966443875383432,0.136160264832343,2.19173051561152,8.91287319943932
14.8791991502556,0.0103465999181782,1.77343701005144,1.64906776217939,1.37091231009772,1.00303144695966,-1.07585095443816,0.172914147261824,2.75566591275604,9.43437288151633
15.1511407977815,0.0105612769128926,1.48943722394268,1.32657705161327,1.02451103593627,0.602289340158742,-1.32421203717448,0.144091382176339,2.1778693181734,11.6010019946098
