"ID_LogUnit","PlotYr","t0","AreaLogUnit","AreaLogged","VolTot","LogInt","AGB0","MAP","RainSeas","BulkDens"
"RFE050","RFE050_2006",2006,211.09,141.82,3405.79,24.0148780143844,321.94670365,3595.66666666667,46,1.43
"RFE050","RFE050_2007",2007,211.09,10.18,244.57,24.024557956778,321.94670365,3595.66666666667,46,1.43
"RFE051","RFE051_2007",2007,243.97,183,3113.31,17.0126229508197,331.2739707,3606.25,46,1.43
"RFE058","RFE058_2016",2016,527.17,36.61,575.96,15.7323135755258,321.948264033333,3548.66666666667,46,1.44
"RFE058","RFE058_2018",2018,527.17,27.59,434.07,15.7328742297934,321.948264033333,3548.66666666667,46,1.44
"RFE059","RFE059_2011",2011,452.86,209.54,3644.23,17.3915720148898,327.59829886,3532.6,46.2,1.44
"RFE059","RFE059_2016",2016,452.86,63.46,1103.6,17.3904821935077,327.59829886,3532.6,46.2,1.44
"RFE060","RFE060_2015",2015,316.05,11.05,263.26,23.8244343891403,317.9654851,3531.5,46.25,1.44
"RFE061","RFE061_2016",2016,266.98,161,4030.9,25.0366459627329,326.8400849,3533,46.6666666666667,1.44
"RFE064","RFE064_2008",2008,515.12,128.52,2487.71,19.3565981948335,345.39550474,3522.625,46.25,1.44
"RFE064","RFE064_2009",2009,515.12,119.48,2312.79,19.3571309005691,345.39550474,3522.625,46.25,1.44
"RFE065","RFE065_2010",2010,1158.99,331.18,6622.28,19.9960142520684,332.099802333333,3511.85714285714,46.7857142857143,1.44
"RFE065","RFE065_2011",2011,1158.99,247.27,4944.28,19.995470538278,332.099802333333,3511.85714285714,46.7857142857143,1.44
"RFE065","RFE065_2012",2012,1158.99,105.49,2109.34,19.9956393970993,332.099802333333,3511.85714285714,46.7857142857143,1.44
"RFE065","RFE065_2016",2016,1158.99,45.06,900.99,19.9953395472703,332.099802333333,3511.85714285714,46.7857142857143,1.44
"RFE066","RFE066_2015",2015,981.5,51.74,626.19,12.1026285272516,351.613962857143,3508.81818181818,46.9090909090909,1.44
"RFE066","RFE066_2016",2016,981.5,545.26,6599.76,12.103877049481,351.613962857143,3508.81818181818,46.9090909090909,1.44
"RFE068","RFE068_2016",2016,292.78,165,658.74,3.99236363636364,328.64914225,3541.5,47,1.44
"RFE069","RFE069_2007",2007,365.19,174.26,1388.82,7.96981521863882,356.455553975,3527.8,47,1.44
"RFE069","RFE069_2012",2012,365.19,94.74,755.12,7.97044542959679,356.455553975,3527.8,47,1.44
"RFE070","RFE070_2008",2008,375.06,131.34,4324.04,32.9224912440993,327.7261751,3566,47,1.44
"RFE070","RFE070_2009",2009,375.06,62.66,2063.16,32.9262687519949,327.7261751,3566,47,1.44
"RFE071","RFE071_2006",2006,294.12,88.55,1171.17,13.2260869565217,338.708247666667,3532.33333333333,47,1.44
"RFE071","RFE071_2007",2007,294.12,101.45,1341.88,13.2270083785116,338.708247666667,3532.33333333333,47,1.44
"RFE072","RFE072_2017",2017,337.98,50.76,1507.27,29.6940504334121,331.6650547,3559,47,1.44
"RFE072","RFE072_2018",2018,337.98,54.84,1628.43,29.6942013129103,331.6650547,3559,47,1.44
"RFE074","RFE074_2010",2010,500.33,159.15,2807.04,17.6377002827521,330.42143874,3508.2,47,1.44
"RFE074","RFE074_2011",2011,500.33,70.51,1243.6,17.6372145794923,330.42143874,3508.2,47,1.44
"RFE074","RFE074_2012",2012,500.33,71.86,1267.5,17.6384636793766,330.42143874,3508.2,47,1.44
"RFE075","RFE075_2012",2012,197.48,84.05,1062.31,12.6390243902439,326.6390257,3512,47.3333333333333,1.44
"RFE075","RFE075_2013",2013,197.48,36.95,466.97,12.6378890392422,326.6390257,3512,47.3333333333333,1.44
"RFE076","RFE076_2009",2009,290.87,224,5131.13,22.9068303571429,362.902218466667,3529,47,1.44
"RFE080","RFE080_2012",2012,268.19,140,193.63,1.38307142857143,323.335992025,3507.2,47.8,1.44
"RIS001","RIS001_1981",1981,157.25,78.5,785,10,314.30514065,3181,51,1.37
"RIS002","RIS002_1981",1981,142.64,71.5,715,10,273.1455608,3172,51.5,1.37
"RIS003","RIS003_1981",1981,154.67,77.5,775,10,273.3015245,3142.5,52,1.37
"RIS004","RIS004_1982",1982,142.03,71,710,10,276.661678,3123,52,1.37
"RIS005","RIS005_1982",1982,157.65,79,790,10,269.119471,3125.5,52,1.37
"RIS006","RIS006_1982",1982,143.08,71.5,715,10,276.621321433333,3110,52,1.37
"RIS007","RIS007_1982",1982,153.64,77,770,10,269.639832716667,3094,52,1.37
"RIS008","RIS008_1983",1983,152.28,76,760,10,263.825827,3088.5,52,1.37
"RIS009","RIS009_1983",1983,140.41,70,700,10,265.1749977,3106,52,1.37
"RIS010","RIS010_1983",1983,157.52,79,790,10,265.558687,3075,52.5,1.37
"RIS011","RIS011_1980",1980,106.56,53.5,535,10,271.4821077,3116,52,1.37
"RIS012","RIS012_1980",1980,158.77,79.5,795,10,276.058709,3121.5,52,1.37
"RIS013","RIS013_1980",1980,143.77,72,720,10,288.397914,3155,52,1.37
"RIS014","RIS014_1980",1980,149.84,75,750,10,272.909665,3187.5,51.5,1.37
"RIS015","RIS015_1980",1980,170.99,85.5,855,10,282.33289265,3159.66666666667,52,1.37
"RIS016","RIS016_1980",1980,108.24,54,540,10,269.8450566625,3073.625,52.5,1.37
"RIS017","RIS017_1979",1979,182.3,91,910,10,275.69391165,3115.5,52,1.37
"RIS018","RIS018_1979",1979,150.06,75,750,10,282.1433297,3194,51,1.37
"RIS019","RIS019_1978",1978,155.12,77.5,775,10,324.18866915,3187,52,1.37
"RIS020","RIS020_1979",1979,138.14,69,690,10,308.8741407,3173,52,1.37
