"theta_1","sigma","lp__"
7.5373749040778,0.128669041855265,7.95625793144925
7.99080041679273,0.120742092858424,9.21120466118459
8.50796096682895,0.133627054627514,9.31133854040347
7.84848385744535,0.191186491908002,8.85338035761395
7.82165009297769,0.143048367723707,9.17411482573555
8.46135092230679,0.134174272298448,9.38622449539426
10.0337610510818,0.264262089959879,5.50295949318295
7.95267930597599,0.153089726490414,9.38221895851242
9.47670321708991,0.151191932081029,6.36133255357834
7.57553636756897,0.272605188524879,7.23819460008682
7.47191811092884,0.1189311116229,7.12486450156269
8.26295782823848,0.169581842599191,9.35385208235727
7.85962649280286,0.175364738275974,9.0759040533716
9.40817439091409,0.190343453553813,7.19367476385654
8.47980959032695,0.123709203080847,9.21790238597477
8.5117668555133,0.165230441433106,9.23858418764763
7.91110884427751,0.151919776122428,9.33316235859742
8.78857710175467,0.278272145888796,7.14228207399953
7.68000832911133,0.268740763151136,7.39366269356822
8.2854902919757,0.121923407875943,9.40102312843505
8.24500695979613,0.240358028686203,8.11740526244759
8.34332721636837,0.14145759644309,9.53187057874148
7.7923362628564,0.117263504263703,8.59986249368471
8.33854014762172,0.170623015933477,9.31384427665201
8.22696411034491,0.182979088974454,9.16589310320923
8.04714502823463,0.157536794522782,9.44065712579177
7.13427007038032,0.203665227360797,7.19502843542102
8.09216220221852,0.16003090214471,9.44449484594151
9.28775027087237,0.226741746083574,7.27777922609441
7.89683808706422,0.168075266002722,9.20030501284882
7.43656547643201,0.168073607727062,8.18380479161305
8.65226019391646,0.161778843443207,9.0728339870711
8.331446385343,0.179512874797676,9.19256843501705
8.95077345392768,0.215699998911305,7.98726806876018
7.6002128066126,0.27032281654448,7.29918694919662
8.90211740007818,0.17173529343895,8.52968736292232
9.10942502214118,0.172434457128229,8.0161980991002
7.17660242686531,0.200695057254813,7.33717320624736
7.57337943303648,0.148814766303745,8.52972336064365
7.63673424556359,0.118070937747607,7.99194632046242
7.7850724582607,0.191354891995651,8.77717563658184
8.96282366249186,0.253855908060482,7.39031470641456
8.20873584482759,0.170350003332289,9.35047929595042
8.68074211214714,0.206979641315698,8.47465193431616
7.84481441130206,0.15829218998227,9.20438787354622
8.90808018019433,0.132264460964223,8.22094080828578
8.06740560959395,0.137323216630766,9.51572440794392
7.72357742785181,0.142221407670614,8.93035936752081
7.89866696672058,0.138636325997574,9.3023118382793
7.23738647894578,0.21293226282378,7.46186073801716
8.00994294877445,0.18952264957781,9.00967997822642
7.7248144335557,0.126075511924604,8.65570009183129
7.74158021218929,0.118337741021257,8.45709331473917
7.53444020501837,0.162766447340656,8.48033467342417
8.92186218076277,0.13842150507859,8.31019172100513
8.30411950654376,0.165729923336939,9.38915127294337
8.21031855196633,0.208435556038966,8.72700275780506
7.88045883537315,0.146213326290087,9.29427725225425
7.35568514360877,0.230767265025136,7.55789058317747
7.60306081572041,0.138800848606523,8.49983581339423
8.8883346298493,0.175361543660417,8.53827617772772
8.98556608945229,0.154186811468445,8.30551491202549
8.52395634275031,0.204607972144615,8.66311160538782
7.92571203916413,0.128981739760282,9.2541478774486
8.11963076587867,0.119001057462717,9.32254091265493
9.29051980939886,0.437910703290852,4.34885752029188
8.8590559254461,0.149302856705126,8.63449070490735
7.42051884870806,0.158934196059308,8.07595609868774
8.77207816109707,0.214262447440398,8.25261860421065
8.74115832208356,0.190960413989386,8.63483140818991
