"alpha","beta","phi","r[1]","r[2]","r[3]","r[4]","r[5]","sigma_r","lp__","C"
-3.29848128490387,0.763660968052868,1911.48447336095,0.0336131205997098,-0.0322379412179023,0.016767691194506,-0.0248721002879988,-0.00495643415165786,0.0253314192442383,131.877187252692,0.00052288006199738
-3.32129053938405,0.769464880253351,2353.9233909239,0.0335511157213292,-0.0249927271526892,0.0248025394338819,-0.0357883909951629,-0.009322547305923,0.0318246243645147,133.52939651843,0.000424642263885991
-3.33708396872264,0.774426427697421,2282.18367914751,0.0279733577321521,-0.0284246815198829,0.0150360812330544,-0.0261174486396877,0.000719917487191012,0.0284528401554493,133.088836321854,0.000437984910777471
-3.29694837387254,0.784721877993694,2646.67204910305,0.00726368010282884,-0.0488183063665771,-0.00124430734426086,-0.0498609216263215,-0.0221699889516511,0.0303977141706493,134.350563230114,0.000377690280916312
-3.31135195877581,0.698191688789199,4163.1465785405,0.0984074032392568,0.0478215487226084,0.084850443515452,0.0400342981975707,0.063206011079373,0.219378889780086,126.665136467514,0.000240145244923269
-3.31200924767067,0.695820864908804,3731.96551462261,0.102011134957562,0.0441500330975774,0.0947326034379188,0.0364288948563664,0.0754365861147385,0.207760729626472,126.51564816283,0.000267883535511604
-3.32099275135011,0.761087679882906,1821.06978259324,0.0367863166530776,-0.0177766669528596,0.0316688032512593,-0.0258331279161142,0.0132792994849902,0.0180074694264592,130.186455752693,0.000548826400368025
-3.33751034822323,0.779620237114233,3988.47053551921,0.0240633180263287,-0.0368588435383883,0.0160434924418235,-0.0435114913383947,-0.00586931997903815,0.0611967710388768,131.349918425353,0.00025065982844008
-3.32992460537577,0.773574842597632,3938.74511882255,0.0277357914214835,-0.0312230497744625,0.0131928641652222,-0.0325657294493879,-0.00699401572067158,0.0543202763292728,133.62802548201,0.000253823526608966
-3.38971842762213,0.779571932599279,2847.96157472413,0.0377962618075599,-0.0196249761097257,0.0241238247647597,-0.0202084901531906,0.00525311685229627,0.0423918145976589,133.899662763856,0.000351005085106082
-3.37474424205573,0.765396300422916,2547.83941827743,0.0508966337628491,-0.00995305943718114,0.0426362630886611,-0.0205898873216897,0.00797977797131217,0.0491988904228489,131.555910301818,0.00039233542640196
-3.38516385850138,0.764768867402318,2876.34628146497,0.0504137266066888,-0.00712458773061929,0.0435118398188108,-0.00976393415752894,0.00910216072807289,0.0508541793651966,132.331149969005,0.000347542458285856
-3.3801442273152,0.753871077275756,3396.67557640072,0.0588143542415597,0.00173101865198787,0.0450301853688086,-0.00679703504186057,0.0279229940317973,0.0721828825187853,131.264088930989,0.000294318859324213
-3.37606283066564,0.757822418768698,3624.4467044624,0.0555143205011893,-0.000836051150804095,0.0502181375937749,-0.00435353165723161,0.017548834198856,0.0679023876224472,132.057332164317,0.000275828078997588
-3.32683976387432,0.760962337354448,2089.26364966979,0.0401859624162901,-0.0162551393731882,0.035987735821549,-0.0216534243511888,0.00819822241108063,0.0270778662074784,133.988243250488,0.000478408549159804
-3.35181958328391,0.766688446947961,2657.27282256436,0.0420626570078421,-0.0125115857196581,0.0353022904130863,-0.0199663662592508,0.0056569715015866,0.0312468085817935,134.916597543858,0.000376184111544777
-3.34533428368013,0.763301698758672,2708.21676387306,0.045468440966198,-0.0107725732223459,0.0265737985446307,-0.0278960093738508,0.011952973903613,0.0348870273015805,131.399161418694,0.000369110369216235
-3.38159474978459,0.768304577595292,2757.79404724517,0.048611341604024,-0.016235965450062,0.0360483448772749,-0.0170711659347715,0.00826019461995383,0.0364488336957388,133.823236032371,0.00036247722116066
-3.30175884331541,0.749252821808539,2975.86145295266,0.0477424077069768,-0.00652332406089734,0.0372779611516141,-0.0158368615619075,0.0141233784014276,0.0233796475848845,134.928916918217,0.000335924266481442
-3.30670412839554,0.749548224109309,3037.25291395582,0.0453341537543228,-0.0115439533215162,0.0383612610583162,-0.0121634770557397,0.0174692069759248,0.0221655559975109,133.970207254719,0.000329136522969049
-3.33649559584417,0.753247405411343,3269.44730485649,0.0528140008934177,-0.00186679899097355,0.039512667842296,-0.0156242248898118,0.00996321912702336,0.0223207784659933,132.052249091626,0.000305768571325102
-3.30795254305705,0.791314566483303,2392.4344929403,0.00737870174468272,-0.0572043093222344,-0.00534799189523944,-0.0609530136856171,-0.0333972952541705,0.0648261673414082,131.418797492732,0.000417809638387686
-3.36350420177595,0.802336947709919,2167.92681615994,0.00822843974213296,-0.0389601922849873,-0.00456097829989337,-0.0493353608959579,-0.0297084945776237,0.0463682420102788,129.897479602832,0.000461057511276702
-3.33385527042148,0.794016857288676,2134.97885042108,0.0142761822054483,-0.047161149888806,0.00777686784448281,-0.060321007085289,-0.0246237479202953,0.0399217799729025,129.672600012405,0.0004681694295816
-3.34300636499113,0.795511878696968,2114.42667308943,0.0190146397684563,-0.0464438259049138,0.00814903701507762,-0.0611884005112115,-0.0260017626469116,0.0399490358963156,127.377507981082,0.000472717874233652
-3.35394573172902,0.7968584482876,2626.80257902699,0.00692399976774332,-0.046850873189611,0.000383367804091489,-0.0489715497097689,-0.0173088433526869,0.0364167882705687,133.143872544226,0.000380546091240337
-3.30331092737309,0.760440006812062,3499.86444670664,0.0391054671727264,-0.0172119882675545,0.0241321659348358,-0.0273779202010764,-0.00310033144120969,0.0412090282050919,134.510592226713,0.000285643736060883
-3.31309269127259,0.763755356479049,3003.77363693921,0.0269498818767305,-0.0244370532270929,0.0285570303811707,-0.0245222615162049,0.00307011407665716,0.0417509332585936,132.018479015275,0.000332803771873692
-3.33209864359642,0.771296176819038,3909.30182724898,0.0303332049490547,-0.0280983369258649,0.018394935481327,-0.027714831419647,0.000575699849896398,0.0292794190705004,134.947660809932,0.000255734734600662
-3.3311597381398,0.773108933740947,3956.46907078489,0.0318091972234587,-0.0275345560626112,0.0139462894641543,-0.0284704858930627,-0.00348164859074473,0.0312484114400526,134.203583752537,0.000252686750575581
-3.30425943321801,0.740698817215958,2329.09957406682,0.0540542261518948,0.00355815135149796,0.0410832524336939,-0.00758574933921577,0.0244703194435529,0.038936268405268,133.091768192607,0.000429166208658911
-3.34407852388525,0.746530319880634,3695.90899223307,0.0587358366754302,0.00630806596635606,0.0476666368980875,-0.00245403370974268,0.0261195360781173,0.0771062000027772,133.339350917799,0.000270496244863188
-3.29621526006684,0.765421820105303,2451.25296185684,0.0300085217272243,-0.0340688089690354,0.0184485354735331,-0.0343604453820605,-0.00821294889616108,0.0212759897377156,133.94053347323,0.000407788272887966
-3.29258392573401,0.762134269958245,2433.31362252119,0.0320032214572097,-0.0327327930915432,0.0253311069863572,-0.0371017363382748,-0.00525022571354671,0.0212072108113374,131.098142596199,0.000410793412462735
-3.34497449107371,0.735410849321022,3213.19159649747,0.0697434985829233,0.0125570045772763,0.0569919091976809,0.00923474635790832,0.0377608476348387,0.0517723422561083,134.107617800142,0.000311120221050203
-3.32701008135476,0.72596574606202,5353.52256556989,0.0780524012210862,0.0204890334846154,0.0664479150475504,0.0102418724895844,0.0387414462662073,0.102291521053764,129.663221662674,0.000186758013950693
-3.33099373521406,0.736803822439294,2731.5392797551,0.0639564849958712,0.00718970866193583,0.0545643194336441,0.00789845668648323,0.0344650217478692,0.063794076694564,132.994448396606,0.000365959972619176
-3.32515364465579,0.776410594198705,3089.07809643699,0.0224662798591065,-0.031295049478706,0.0116320393086218,-0.0304633599515921,-0.00470057644573857,0.019437199731131,133.054386950748,0.000323616416411303
-3.29074029732459,0.755696918070584,2242.81668411563,0.0313926009731906,-0.0231349325150395,0.0200693890585194,-0.0221198888371872,0.00396222002717697,0.0263199888633217,132.685291850647,0.000445669205991369
-3.3582439992551,0.774069750143524,2291.99646322805,0.0334217693958677,-0.0205399320328008,0.0231650897873781,-0.0207280306406321,0.00654808510148417,0.0300643867881127,133.141948733642,0.000436110572360942
-3.36221694291477,0.773199084236323,3804.87719601089,0.0304383510382638,-0.0189569643963917,0.0236797087310153,-0.026178344298505,-0.00251493154474916,0.0140493617290904,130.686278802444,0.000262751515221812
-3.32833231311401,0.764664744398291,4694.71027102445,0.0368504795662107,-0.026934511294098,0.024017447612127,-0.028556078026135,0.00168054867233191,0.0182421242897588,129.87442490565,0.000212960328104279
-3.31145536908191,0.762073397055757,3894.69811273497,0.0339689560022758,-0.0184489683524934,0.0232235323164049,-0.0278037979859248,0.000387144466975732,0.0172928260213975,135.174557536485,0.000256693401557738
-3.30629772294481,0.763283805089726,3906.95599181787,0.0341680886657996,-0.0208184569387765,0.0234345215654181,-0.0231074827451082,-0.000692271559207467,0.0169511893166194,133.895587259771,0.000255888244927454
-3.32112777246185,0.768262485060082,3759.0254768615,0.0332015653708837,-0.0236224093592235,0.0226640618214443,-0.0319742409315831,-0.000359308160817427,0.018062159661105,135.522484943346,0.000265955644756615
-3.30576796735153,0.766018020592979,2510.90746784201,0.0284945219797878,-0.0221380298843963,0.0144449036603143,-0.0367940112914838,-0.0073634080109706,0.0509195536023393,132.262486647378,0.000398103836547412
-3.29759206862901,0.749030180420736,2413.57849934041,0.0425091612338668,-0.00513155678345281,0.029663907284167,-0.0186108788013525,0.00918880634102293,0.0243292950901336,133.072994311005,0.000414150958551636
-3.42027655910576,0.789766820351491,1867.85086133336,0.0372386249009618,-0.0212229692610355,0.024192649579207,-0.0292537745485545,0.00279415614137338,0.037213042032454,132.396372480869,0.000535088176745433
-3.36098431880177,0.778617007037111,2211.2582404384,0.0305090727841304,-0.0240460074537353,0.0228797403127838,-0.0269126033579844,-0.00559244699603556,0.0540148709499245,133.467369675003,0.000452026794033699
-3.32287651292672,0.769998888351166,2441.84113898518,0.0311819312332029,-0.0284779585795781,0.0174067952190118,-0.036414169937868,-0.00255193685338655,0.0281776197558662,135.075986847752,0.000409359406979459
-3.3140721946286,0.770072166816414,2326.87548322613,0.0279493309312307,-0.0269296338056131,0.0129918514366295,-0.0307352335344294,0.00363615389134883,0.0297456096452553,131.89372066382,0.000429576241171685
-3.29918436691231,0.767276741237043,2726.28672675538,0.0282583498088154,-0.0295850724771684,0.0191758457148876,-0.0355343907810133,-0.0146569666010983,0.0290790966434255,134.079269183264,0.000366664784523661
-3.31145896149653,0.770538213277638,2618.65087013029,0.0241269454738829,-0.0279182367102545,0.0174623541194584,-0.0304172546392873,0.000143023695685747,0.0344747780262309,133.283145568475,0.000381730257036222
-3.31932205540303,0.778227287342443,3534.5379880783,0.0171704085120437,-0.0334092988767785,0.00759197830688334,-0.0379120522663177,-0.00857765724817292,0.0177869444200257,132.790187286447,0.000282842385903351
