"ID_LogUnit","AGB","MAP","RainSeas","BulkDens","AreaLogUnit"
"COE050",324.651017566667,3678.5,45,1.43,265.7138
"COE051",335.0049675,3675.8,45,1.43,295.38885
"COE052",328.970883766667,3676.66666666667,45,1.43,300.35962
"COE053",335.5142247,3680,45,1.43,172.96619
"COE054",349.4778543,3680.5,45,1.43,218.67807
"COO011",325.085300133333,3694,45,1.43,315.77149
"COO012",325.7513169,3702.25,44.75,1.43,365.24572
"COO013",323.5648235,3702,45,1.43,210.80614
"COO014",308.2970805,3696,45,1.43,201.83542
"COO015",345.8141105,3691,45,1.43,292.63603
"COO016",331.840073333333,3686.75,45,1.43,277.05436
"COO019",343.9674612,3678.33333333333,45,1.43,365.19529
"COO020",326.5463797,3680.66666666667,45,1.43,217.6253
"COO021",327.730680666667,3686.33333333333,45,1.43,246.13129
"COO022",313.75700985,3690,45,1.43,233.21271
"COO023",310.657894333333,3694,45,1.43,217.7383
"COO024",350.279206,3687,45,1.43,175.73329
"COO025",350.6720503,3682.33333333333,45,1.43,219.37997
"COO026",332.3159302,3679.5,45,1.43,140.55822
"COO027",321.2066765,3681.66666666667,45,1.43,240.35133
"COO028",314.81760465,3675.66666666667,45,1.43,229.22723
"COO029",318.716166433333,3680,45,1.43,260.1431
"COO030",326.46417515,3674,45,1.43,208.4949
"COO031",318.6294812,3674,45,1.43,207.13399
"COO034",321.046876175,3666.25,45.5,1.43,308.10049
"COO035",317.953505433333,3663,46,1.43,314.06865
"COO036",324.927539666667,3669.66666666667,45,1.43,301.00967
"COO037",321.249386566667,3673.66666666667,45,1.43,289.75838
"COO038",331.17767665,3665.33333333333,45,1.43,208.54292
"COO039",324.5628923,3666,45,1.43,191.93031
"COO040",335.61601035,3657.33333333333,45.6666666666667,1.43,201.92858
"COO041",331.8189708,3656.66666666667,46,1.43,274.20302
"COO042",324.35811565,3658.4,45.8,1.43,288.91869
"COO043",334.9867825,3652.5,46,1.43,190.87706
"COO044",329.08430965,3650.5,46,1.43,205.20694
"COO045",330.031806,3641,46,1.43,226.96109
"CDF012",308.776406766667,2684.66666666667,46.6666666666667,1.37,340.59132
"CDF013",312.46880265,2693,47,1.37,235.96219
"CGR001",307.4114192,2630,43,1.21,460.66637
"CGR003",301.67543954,2631.4,42,1.21,485.57496
"CGR005",289.70078712,2641.75,42.5,1.21,420.8806
"CGR006",294.5065188,2648.6,43,1.21,476.31717
"CGR007",304.0871783,2658.4,43,1.21,457.12403
"CGR008",301.492739716667,2656.5,42.375,1.21,617.44106
"CGR009",321.648455766667,2649.6,42,1.21,358.76723
"CGR015",298.406227528571,2672.44444444444,42.7777777777778,1.21,584.59448
"CGR016",314.598020942857,2666.57142857143,43.2857142857143,1.21,496.18044
"CGR017",317.191120825,2658.83333333333,43.3333333333333,1.21,544.32288
"CGR018",312.55737292,2670.16666666667,44.1666666666667,1.21,530.88165
"CGR025",317.87339486,2691.33333333333,43.3333333333333,1.29,496.89862
"CGR026",319.614682383333,2692.125,43,1.29,659.87107
"CGR027",315.387698575,2680.75,43,1.29,521.12333
"CGR028",341.555465266667,2683.5,42.3333333333333,1.29,441.85502
"CGR029",322.58215645,2682.5,42,1.29,427.13537
"CGR030",307.19487285,2679.33333333333,42,1.29,301.36953
"CGR031",304.3120855,2673.8,42.4,1.29,596.6265
"CGR032",310.478184925,2672.44444444444,41.8888888888889,1.29,629.49347
"CNI010",301.31853485,2710,47,1.37,217.26407
"CNI014",323.125880333333,2686.25,48.5,1.37,362.1202
"CNI015",302.617555625,2683.28571428571,47.4285714285714,1.37,620.66431
"CNI018",316.929306942857,2654.77777777778,48.4444444444444,1.37,723.47633
"CNI019",317.33433045,2665,49,1.37,558.35342
"CNI020",320.100586528571,2640.33333333333,49,1.37,742.30513
"CNI021",319.83394175,2642.2,50,1.37,420.44593
"CPT002",306.14196474,2653.5,40,1.29,465.74274
"CPT004",298.66918154,2655.75,40,1.29,415.6121
"CPT005",295.52261712,2649.83333333333,39.6666666666667,1.29,369.86963
"CPT006",291.34163358,2661.42857142857,40,1.29,606.02154
"CPT007",316.45267752,2667.83333333333,40,1.29,466.61456
"CPT008",310.815901766667,2674.85714285714,40.4285714285714,1.29,561.52339
"CPT009",293.643909883333,2676.66666666667,40.5,1.29,517.60497
"CPT010",291.46984992,2667,40,1.29,492.12075
"CPT011",306.399926175,2660.33333333333,40,1.29,419.80582
"CPT012",298.03516,2654.75,40,1.29,334.81468
"CPT013",297.38104092,2648.33333333333,39.1666666666667,1.29,485.27876
"CPT014",305.37697274,2643.14285714286,39,1.29,596.98447
"CPT015",314.999655666667,2644,39,1.29,332.38811
"CPT016",313.494567175,2639.5,39,1.29,359.92492
"CPT017",305.33296815,2648.5,39,1.29,353.78141
"CPT018",306.9154194,2646.66666666667,39,1.29,359.06653
"CPT019",305.3626293,2644,39,1.29,153.97757
"CPT020",310.066866566667,2651,39,1.29,206.28793
